Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Winston-Salem Open at Wake Forest University,2017-08-20,ATP250,Outdoor,Hard,1st Round,3,Monteiro T.,Dolgopolov O.,Monteiro T.,114,63,491,751,2.0,1.72,6-3 6-3
Winston-Salem Open at Wake Forest University,2017-08-20,ATP250,Outdoor,Hard,1st Round,3,Kicker N.,Kuznetsov An.,Kuznetsov An.,93,70,590,721,3.5,1.28,5-7 2-6
Winston-Salem Open at Wake Forest University,2017-08-20,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Berankis R.,Baghdatis M.,82,165,645,345,1.53,2.37,7-5 7-5
Winston-Salem Open at Wake Forest University,2017-08-20,ATP250,Outdoor,Hard,1st Round,3,Gombos N.,Struff J.L.,Struff J.L.,83,56,639,883,2.75,1.4,6-7 6-7
Winston-Salem Open at Wake Forest University,2017-08-20,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Chrysochos P.,Lajovic D.,84,1360,637,3,1.07,7.5,6-2 6-3
Winston-Salem Open at Wake Forest University,2017-08-21,ATP250,Outdoor,Hard,1st Round,3,Dutra Silva R.,Young D.,Young D.,452,57,86,830,3.25,1.33,4-6 2-6
Winston-Salem Open at Wake Forest University,2017-08-21,ATP250,Outdoor,Hard,1st Round,3,Seppi A.,Tipsarevic J.,Seppi A.,86,66,626,736,2.0,1.72,6-2 6-2
Winston-Salem Open at Wake Forest University,2017-08-21,ATP250,Outdoor,Hard,1st Round,3,Eysseric J.,Lu Y.H.,Lu Y.H.,290,61,169,790,4.33,1.2,2-6 1-6
Winston-Salem Open at Wake Forest University,2017-08-21,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Darcis S.,Rublev A.,54,65,888,741,1.53,2.37,6-4 6-4
Winston-Salem Open at Wake Forest University,2017-08-21,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Berlocq C.,Berlocq C.,301,96,164,561,1.8,1.9,2-6 4-6
US Open,2017-08-31,Grand Slam,Outdoor,Hard,2nd Round,5,Dimitrov G.,Rublev A.,Rublev A.,9,53,3710,890,1.1,7.0,5-7 6-7 3-6
US Open,2017-08-31,Grand Slam,Outdoor,Hard,2nd Round,5,Del Potro J.M.,Menendez-Maceiras A.,Del Potro J.M.,28,148,1460,377,1.05,10.0,6-2 6-3 7-6
US Open,2017-08-31,Grand Slam,Outdoor,Hard,2nd Round,5,Fratangelo B.,Mannarino A.,Mannarino A.,135,34,418,1255,5.0,1.16,3-6 7-6 1-6 2-6
US Open,2017-08-31,Grand Slam,Outdoor,Hard,2nd Round,5,Bautista Agut R.,Brown D.,Bautista Agut R.,13,116,2525,490,1.08,8.0,6-1 6-3 7-6
US Open,2017-08-31,Grand Slam,Outdoor,Hard,2nd Round,5,Pella G.,Goffin D.,Goffin D.,72,14,692,2525,3.4,1.33,6-3 6-7 7-6 6-7 3-6
